,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
2202,MLB 2000,15,1999.0,10,458,0.52,0.35,0.0,0.06,0.94,70.0,4.0,7.8,4.0,1539,1
2203,Bully,16,2006.0,0,497,0.75,0.03,0.04,0.12,0.94,87.0,69.0,9.1,293.0,1225,7
2204,Rise of the Tomb Raider,18,2016.0,1,467,0.23,0.53,0.04,0.14,0.94,70.0,4.0,7.8,4.0,1539,1
2205,Prince of Persia: The Sands of Time,29,2003.0,0,528,0.57,0.33,0.0,0.04,0.94,92.0,41.0,7.8,72.0,1539,7
2206,Hot Shots Golf Fore!,16,2003.0,10,458,0.46,0.36,0.0,0.12,0.94,70.0,4.0,7.8,4.0,1539,1
2207,MLB 06: The Show,16,2006.0,10,458,0.78,0.03,0.0,0.13,0.94,83.0,30.0,8.9,31.0,1247,1
2208,NHL 2003,16,2002.0,10,139,0.46,0.36,0.0,0.12,0.93,79.0,20.0,6.8,18.0,449,1
2209,Naruto Shippuden: Ultimate Ninja Storm 3,17,2013.0,2,349,0.32,0.32,0.15,0.15,0.93,77.0,32.0,7.9,187.0,355,7
2210,EA Sports UFC 2,18,2016.0,10,139,0.29,0.49,0.0,0.15,0.93,79.0,38.0,6.2,157.0,449,7
2211,The Sims 2,4,2005.0,9,139,0.81,0.05,0.0,0.07,0.93,70.0,13.0,6.1,24.0,628,2
2212,Bentley's Hackpack,6,2005.0,3,139,0.67,0.25,0.0,0.02,0.93,70.0,4.0,7.8,4.0,1539,1
2213,Tony Hawk's Pro Skater 4,29,2002.0,10,21,0.59,0.3,0.0,0.04,0.93,90.0,25.0,8.5,21.0,1004,7
2214,Dragon Age: Inquisition,30,2014.0,7,139,0.56,0.28,0.0,0.09,0.93,85.0,28.0,6.9,703.0,196,5
2215,White Knight Chronicles: International Edition,17,2008.0,7,458,0.33,0.16,0.36,0.08,0.93,64.0,77.0,7.5,213.0,843,7
2216,SingStar Abba,17,2008.0,3,458,0.27,0.5,0.0,0.16,0.93,70.0,26.0,5.5,4.0,1253,7
2217,Crash City Mayhem,6,2004.0,6,491,0.67,0.25,0.0,0.02,0.93,70.0,4.0,7.8,4.0,1539,1
2218,Spider-Man,0,1981.0,0,393,0.87,0.05,0.0,0.01,0.93,70.0,4.0,7.8,4.0,1539,1
2219,Kirby: Planet Robobot,2,2016.0,0,361,0.28,0.14,0.47,0.04,0.93,81.0,71.0,8.7,87.0,638,1
2220,Toy Story 2: Buzz Lightyear to the Rescue!,10,1999.0,4,21,0.71,0.2,0.0,0.01,0.93,70.0,4.0,7.8,4.0,1539,1
2221,Castlevania II: Simon's Quest,11,1987.0,4,277,0.45,0.06,0.42,0.0,0.93,70.0,4.0,7.8,4.0,1539,1
2222,Mega Man 4,11,1991.0,4,85,0.51,0.09,0.32,0.01,0.93,70.0,4.0,7.8,4.0,1539,1
2223,Guitar Hero: Metallica,26,2009.0,3,21,0.4,0.43,0.0,0.1,0.93,85.0,20.0,8.6,17.0,1004,7
2224,Teenage Mutant Ninja Turtles,6,2003.0,0,533,0.67,0.25,0.0,0.02,0.93,71.0,16.0,8.8,8.0,815,1
2225,Bayonetta,28,2009.0,0,448,0.51,0.25,0.09,0.08,0.93,90.0,86.0,8,597.0,1119,5
2226,MLB 07: The Show,16,2007.0,10,458,0.77,0.03,0.0,0.13,0.93,83.0,25.0,8.6,19.0,1246,1
2227,Cars,7,2006.0,6,491,0.72,0.19,0.0,0.03,0.93,71.0,21.0,7,5.0,1171,1
2228,Build-A-Bear Workshop,4,2007.0,9,183,0.85,0.01,0.0,0.07,0.93,61.0,11.0,4.8,5.0,995,1
2229,Kingdom Hearts Re:coded,4,2010.0,7,467,0.53,0.09,0.27,0.05,0.93,66.0,58.0,7,76.0,1369,2
2230,Operation Flashpoint: Dragon Rising,28,2009.0,8,91,0.36,0.45,0.02,0.1,0.93,77.0,47.0,7.8,112.0,305,5
2231,Inazuma Eleven 3,4,2010.0,7,283,0.0,0.0,0.93,0.0,0.93,70.0,4.0,7.8,4.0,1539,1
2232,Lego Batman 3: Beyond Gotham,18,2014.0,0,552,0.37,0.4,0.0,0.15,0.93,73.0,43.0,7.1,75.0,1432,2
2233,Wipeout: In The Zone,28,2011.0,3,21,0.87,0.0,0.0,0.06,0.93,39.0,5.0,5.6,8.0,47,2
2234,SnoCross Championship Racing,15,1999.0,6,528,0.52,0.35,0.0,0.06,0.93,66.0,8.0,7.8,4.0,1534,1
2235,Brothers in Arms: Hell's Highway,17,2008.0,8,528,0.44,0.34,0.0,0.15,0.93,76.0,48.0,8,70.0,599,5
2236,The LEGO Movie Videogame,17,2014.0,0,552,0.33,0.43,0.02,0.15,0.93,80.0,5.0,6.8,12.0,1432,2
2237,Assassin's Creed III,13,2012.0,0,528,0.28,0.53,0.0,0.12,0.93,80.0,21.0,6.2,1489.0,1539,5
2238,Borderlands 2,13,2012.0,8,497,0.42,0.41,0.0,0.1,0.93,89.0,38.0,8.2,2482.0,599,5
2239,Teenage Mutant Ninja Turtles,16,2003.0,0,277,0.45,0.35,0.0,0.12,0.92,59.0,29.0,8.7,31.0,783,1
2240,Disney Magical World,2,2013.0,1,361,0.17,0.2,0.53,0.03,0.92,71.0,27.0,7.5,21.0,1682,1
2241,Top Gun: Combat Zones,16,2001.0,9,512,0.45,0.35,0.0,0.12,0.92,63.0,17.0,3.3,9.0,1493,1
2242,NCAA Football 11,28,2010.0,10,139,0.86,0.0,0.0,0.06,0.92,86.0,29.0,7.1,70.0,453,1
2243,007: The World is not Enough,15,2000.0,0,139,0.51,0.35,0.0,0.06,0.92,61.0,11.0,6.7,44.0,208,7
2244,Cars,26,2006.0,6,491,0.83,0.03,0.0,0.07,0.92,65.0,13.0,7.8,4.0,1171,1
2245,Monster High: Ghoul Spirit,4,2011.0,3,491,0.69,0.16,0.0,0.07,0.92,70.0,4.0,7.8,4.0,710,1
2246,Phoenix Wright: Ace Attorney,4,2005.0,1,85,0.44,0.05,0.39,0.05,0.92,81.0,53.0,9.2,203.0,268,7
2247,MLB 15: The Show,18,2015.0,10,458,0.68,0.08,0.0,0.17,0.92,80.0,44.0,7.8,190.0,1247,1
2248,South Park: The Stick of Truth,17,2014.0,7,528,0.43,0.34,0.0,0.16,0.92,85.0,31.0,8.5,575.0,1050,5
2249,South Park: The Stick of Truth,28,2014.0,7,528,0.58,0.26,0.0,0.09,0.92,82.0,33.0,8.4,363.0,1050,5
2250,NHL 98,15,1997.0,10,139,0.51,0.35,0.0,0.06,0.92,70.0,4.0,7.8,4.0,1539,1
2251,Space Jam,15,1996.0,10,17,0.51,0.35,0.0,0.06,0.92,70.0,4.0,7.8,4.0,1539,1
2252,Balloon Fight,11,1985.0,4,361,0.39,0.09,0.43,0.01,0.92,70.0,4.0,7.8,4.0,1539,1
2253,Knockout Kings 2000,10,1999.0,2,139,0.63,0.27,0.0,0.02,0.92,70.0,4.0,7.8,4.0,1539,1
2254,MLB 12: The Show,17,2012.0,10,458,0.86,0.0,0.0,0.06,0.92,87.0,23.0,7.5,75.0,1247,1
2255,SpongeBob SquarePants: The Yellow Avenger,19,2006.0,0,491,0.55,0.21,0.0,0.16,0.92,48.0,9.0,6.4,13.0,1444,1
2256,Dante's Inferno,28,2010.0,0,139,0.63,0.2,0.02,0.07,0.92,73.0,71.0,7.7,224.0,1605,5
2257,Wii Play: Motion,26,2011.0,3,361,0.23,0.42,0.18,0.09,0.92,60.0,34.0,6.1,16.0,1020,2
2258,WWE SmackDown vs. Raw 2009,28,2008.0,2,491,0.58,0.26,0.0,0.08,0.92,79.0,47.0,7.1,34.0,1652,7
2259,Sonic Riders,7,2006.0,6,448,0.71,0.18,0.0,0.03,0.92,59.0,32.0,8,46.0,1342,1
2260,Starsky & Hutch,16,2003.0,6,143,0.45,0.35,0.0,0.12,0.92,70.0,4.0,7.8,4.0,1539,1
2261,Tobal No.1,15,1996.0,2,458,0.12,0.08,0.66,0.06,0.92,70.0,4.0,7.8,4.0,1539,1
2262,Blue Dragon,28,2006.0,7,325,0.3,0.32,0.21,0.08,0.92,79.0,56.0,7.8,161.0,955,7
2263,Buzz! Quiz World,17,2009.0,3,458,0.16,0.57,0.0,0.19,0.91,70.0,4.0,7.8,4.0,1539,1
2264,Harvest Moon 3D: A New Beginning,2,2012.0,0,301,0.41,0.17,0.3,0.05,0.91,74.0,21.0,8.2,62.0,895,1
2265,Kung Fu Panda,26,2008.0,0,21,0.5,0.32,0.0,0.09,0.91,70.0,20.0,6.7,7.0,1647,2
2266,Street Hoops,16,2002.0,10,21,0.45,0.35,0.0,0.12,0.91,70.0,4.0,7.8,4.0,1539,1
2267,EA Sports Grand Slam Tennis,26,2009.0,10,139,0.28,0.51,0.02,0.11,0.91,70.0,4.0,7.8,4.0,1539,1
2268,EA Sports Active 2,17,2010.0,10,139,0.52,0.27,0.0,0.12,0.91,78.0,20.0,5.4,14.0,431,1
2269,Nickelodeon Fit,26,2010.0,10,497,0.76,0.09,0.0,0.06,0.91,70.0,4.0,7.8,4.0,666,1
2270,Knockout Kings 2002,16,2002.0,10,139,0.45,0.35,0.0,0.12,0.91,76.0,23.0,8.1,12.0,477,7
2271,Injustice: Gods Among Us,18,2013.0,2,552,0.46,0.3,0.0,0.16,0.91,70.0,4.0,7.8,4.0,1539,1
2272,Tom Clancy's EndWar,28,2008.0,11,528,0.58,0.24,0.01,0.09,0.91,77.0,63.0,7.2,53.0,1558,7
2273,LEGO Harry Potter: Years 5-7,17,2008.0,0,552,0.36,0.41,0.0,0.15,0.91,76.0,27.0,8.3,48.0,1511,2
2274,Tokyo Xtreme Racer 3,16,2003.0,6,194,0.35,0.27,0.21,0.09,0.91,63.0,15.0,8.9,23.0,605,1
2275,Xenoblade Chronicles,26,2010.0,7,361,0.43,0.25,0.16,0.07,0.91,92.0,59.0,8.9,950.0,962,7
2276,Assassin's Creed,13,2008.0,1,528,0.01,0.83,0.0,0.07,0.91,70.0,4.0,7.8,4.0,1539,1
2277,Glover,10,1998.0,4,217,0.72,0.17,0.0,0.01,0.91,70.0,4.0,7.8,4.0,1539,1
2278,Colin McRae Rally 2.0,15,2000.0,6,91,0.02,0.8,0.02,0.07,0.91,90.0,13.0,8.7,31.0,305,1
2279,Dynasty Warriors 7,17,2011.0,0,503,0.25,0.13,0.46,0.06,0.91,57.0,25.0,7.4,57.0,1054,7
2280,NBA 2K14,30,2013.0,10,497,0.7,0.11,0.0,0.09,0.91,86.0,15.0,5.7,183.0,1606,1
2281,Namco Museum,29,2008.0,3,533,0.77,0.11,0.0,0.04,0.91,59.0,7.0,7.8,4.0,898,1
2282,SSX,17,2012.0,10,139,0.35,0.41,0.02,0.14,0.91,81.0,38.0,6.8,110.0,431,1
2283,Sonic Riders: Zero Gravity,26,2008.0,6,448,0.48,0.32,0.02,0.09,0.91,56.0,26.0,8.1,57.0,1342,1
2284,AMF Bowling Pinbusters!,26,2007.0,10,66,0.84,0.0,0.0,0.07,0.91,70.0,4.0,7.8,4.0,1539,1
2285,Super Momotarou Dentetsu III,23,1994.0,9,227,0.0,0.0,0.91,0.0,0.91,70.0,4.0,7.8,4.0,1539,1
2286,Sonic Mega Collection Plus,29,2004.0,3,448,0.61,0.26,0.0,0.04,0.91,75.0,20.0,7.9,12.0,1342,1
2287,Operation Flashpoint: Dragon Rising,17,2009.0,8,91,0.23,0.46,0.05,0.17,0.91,76.0,42.0,6.5,53.0,305,5
2288,Tiger Woods PGA Tour 2002,16,2002.0,10,139,0.44,0.35,0.0,0.12,0.9,80.0,23.0,7.6,5.0,449,1
2289,Lost Odyssey,28,2007.0,7,325,0.45,0.26,0.11,0.08,0.9,78.0,68.0,8.3,432.0,954,7
2290,Street Fighter V,18,2016.0,2,85,0.4,0.28,0.08,0.14,0.9,77.0,80.0,3.4,1221.0,268,7
2291,Just Cause 3,30,2015.0,0,467,0.44,0.39,0.0,0.08,0.9,71.0,24.0,7,186.0,140,5
2292,Mini-Yonku Shining Scorpion: Let's & Go!!,23,1996.0,6,13,0.0,0.0,0.9,0.0,0.9,70.0,4.0,7.8,4.0,1539,1
2293,MLB 2005,16,2004.0,10,458,0.44,0.35,0.0,0.12,0.9,78.0,36.0,7.6,9.0,36,1
2294,Marvel: Ultimate Alliance 2,28,2009.0,7,21,0.68,0.15,0.0,0.08,0.9,73.0,75.0,7.3,82.0,1591,7
2295,Burnout Revenge,16,2005.0,6,139,0.75,0.03,0.0,0.12,0.9,90.0,52.0,8.8,114.0,341,2
2296,Crysis 3,28,2013.0,8,139,0.51,0.31,0.01,0.08,0.9,76.0,45.0,6.7,344.0,346,5
2297,Far Cry 4,28,2014.0,8,528,0.45,0.37,0.0,0.08,0.9,70.0,4.0,7,109.0,1547,5
2298,The Witcher 2: Assassins of Kings,28,2012.0,0,349,0.48,0.32,0.02,0.08,0.9,88.0,82.0,8.3,818.0,264,5
2299,Homefront,17,2011.0,8,491,0.32,0.39,0.04,0.15,0.9,70.0,60.0,5.7,174.0,795,5
2300,Destruction Derby,15,1995.0,6,415,0.5,0.34,0.0,0.06,0.9,70.0,4.0,7.8,4.0,1539,1
2301,LEGO Jurassic World,18,2015.0,0,552,0.32,0.42,0.02,0.14,0.9,70.0,46.0,7,80.0,1432,2
2302,Avatar: The Game,17,2009.0,0,528,0.32,0.42,0.0,0.16,0.9,70.0,4.0,7.8,4.0,1539,1
2303,The Elder Scrolls Online,13,2014.0,7,66,0.32,0.51,0.0,0.07,0.9,71.0,64.0,5.7,2421.0,1658,5
2304,3Xtreme,15,1999.0,0,10,0.5,0.34,0.0,0.06,0.9,70.0,4.0,7.8,4.0,1539,1
2305,Hot Shots Tennis,16,2006.0,10,458,0.17,0.13,0.55,0.05,0.9,70.0,44.0,8.1,8.0,296,1
2306,MX vs. ATV Reflex,17,2009.0,6,491,0.52,0.25,0.0,0.12,0.9,74.0,44.0,7.4,10.0,1171,1
2307,Madden NFL 25,18,2013.0,10,139,0.63,0.13,0.0,0.15,0.9,74.0,13.0,5.2,118.0,449,1
2308,Sonic Heroes,29,2003.0,4,448,0.41,0.43,0.01,0.05,0.9,73.0,28.0,7.6,34.0,1342,1
2309,Madden NFL 99,10,1998.0,10,139,0.84,0.05,0.0,0.01,0.9,70.0,4.0,7.8,4.0,1539,1
2310,Spider-Man 3,16,2007.0,4,21,0.74,0.03,0.01,0.12,0.9,50.0,14.0,6.5,28.0,1591,7
2311,James Bond 007: Agent Under Fire,29,2002.0,8,139,0.65,0.22,0.0,0.03,0.9,71.0,16.0,7.5,15.0,477,7
2312,LEGO Pirates of the Caribbean: The Video Game,4,2011.0,0,127,0.34,0.46,0.0,0.1,0.9,69.0,5.0,7.8,4.0,1511,2
2313,LEGO Marvel Super Heroes,2,2013.0,0,552,0.42,0.36,0.04,0.07,0.9,61.0,4.0,5.2,11.0,1432,2
2314,DJ Hero,17,2009.0,3,21,0.42,0.34,0.0,0.14,0.9,86.0,53.0,7.8,49.0,546,7
2315,Skylanders: Trap Team,28,2014.0,0,21,0.54,0.27,0.0,0.08,0.9,70.0,4.0,7.8,4.0,1507,2
2316,X-Men Legends,29,2004.0,7,21,0.62,0.24,0.0,0.04,0.9,82.0,63.0,8.5,14.0,1176,7
2317,NBA Live 2005,29,2004.0,10,139,0.81,0.05,0.0,0.04,0.9,85.0,28.0,7.6,14.0,431,1
2318,Harry Potter: Quidditch World Cup,16,2003.0,10,139,0.44,0.34,0.0,0.11,0.9,68.0,21.0,6.6,27.0,884,1
2319,LEGO The Lord of the Rings,26,2012.0,0,552,0.48,0.34,0.0,0.07,0.9,70.0,4.0,7.2,21.0,1432,2
2320,Madagascar,6,2005.0,4,21,0.62,0.24,0.0,0.03,0.89,71.0,6.0,7.8,4.0,1591,1
2321,Blitz: The League,16,2005.0,10,533,0.74,0.03,0.0,0.12,0.89,76.0,25.0,8,20.0,938,5
2322,The Biggest Loser: Ultimate Workout,28,2010.0,10,491,0.73,0.1,0.0,0.06,0.89,68.0,11.0,7.8,4.0,215,1
2323,Castlevania: Circle of the Moon,6,2001.0,4,277,0.6,0.22,0.05,0.02,0.89,91.0,22.0,8.5,59.0,786,7
2324,SOCOM 4: U.S. Navy SEALs,17,2011.0,8,458,0.66,0.11,0.04,0.08,0.89,67.0,64.0,6.3,121.0,1665,5
2325,Tiger Woods PGA Tour 06,16,2005.0,10,139,0.74,0.03,0.0,0.12,0.89,83.0,29.0,6.2,16.0,449,1
2326,FIFA Street,28,2012.0,10,139,0.17,0.62,0.0,0.1,0.89,77.0,47.0,6.7,58.0,449,1
2327,Classic NES Series: The Legend of Zelda,6,2004.0,1,361,0.46,0.17,0.24,0.02,0.89,84.0,16.0,8.6,58.0,1020,1
2328,Fire Emblem: The Sacred Stones,6,2004.0,11,361,0.42,0.16,0.3,0.02,0.89,85.0,38.0,9.1,132.0,735,1
2329,Cars 2,26,2011.0,6,127,0.43,0.37,0.0,0.09,0.89,70.0,4.0,7.8,4.0,1539,1
2330,TouchMaster 2,4,2008.0,5,327,0.3,0.49,0.0,0.1,0.89,76.0,8.0,7.8,4.0,942,1
2331,Pokemon Card GB2: Here Comes Team GR!,5,2001.0,11,361,0.0,0.0,0.89,0.0,0.89,70.0,4.0,7.8,4.0,1539,1
2332,MLB 16: The Show,18,2016.0,0,458,0.72,0.0,0.0,0.17,0.89,70.0,4.0,7.8,4.0,1539,1
2333,Killzone: Liberation,19,2006.0,8,458,0.44,0.27,0.0,0.18,0.89,77.0,56.0,8.3,80.0,630,7
2334,Finding Nemo,7,2003.0,0,491,0.69,0.18,0.0,0.02,0.89,62.0,11.0,5.5,8.0,1511,1
2335,Lego Batman 3: Beyond Gotham,28,2014.0,0,552,0.48,0.33,0.0,0.08,0.89,70.0,4.0,6.8,14.0,1432,2
2336,Ace Combat 2,15,1997.0,9,458,0.16,0.11,0.56,0.06,0.89,83.0,10.0,8.2,22.0,978,7
2337,NFL 2K2,16,2001.0,10,448,0.44,0.34,0.0,0.11,0.89,85.0,16.0,7.5,6.0,1606,1
2338,Pure,17,2008.0,6,127,0.42,0.33,0.0,0.14,0.89,83.0,43.0,7.8,30.0,209,1
2339,We Ski & Snowboard,26,2008.0,10,53,0.38,0.29,0.15,0.08,0.89,70.0,4.0,7.8,4.0,1539,1
2340,Resistance: Retribution,19,2009.0,8,458,0.27,0.35,0.05,0.21,0.89,81.0,67.0,8.1,84.0,1344,5
2341,Call of Duty: World at War,4,2008.0,8,21,0.56,0.25,0.0,0.08,0.89,75.0,12.0,7.8,20.0,1689,7
2342,Tiger Woods PGA Tour 12: The Masters,17,2011.0,10,139,0.52,0.25,0.0,0.11,0.89,80.0,41.0,7.3,17.0,477,1
2343,CSI: Hard Evidence,26,2008.0,1,528,0.36,0.43,0.0,0.1,0.89,70.0,4.0,7.8,4.0,1539,1
2344,MLB 2001,15,2000.0,10,458,0.49,0.34,0.0,0.06,0.89,70.0,4.0,7.8,4.0,1539,1
2345,The Jak and Daxter Collection,17,2012.0,4,458,0.6,0.18,0.0,0.11,0.89,70.0,4.0,7.8,4.0,1539,1
2346,FIFA Soccer 09 All-Play,26,2008.0,10,139,0.28,0.51,0.0,0.09,0.89,80.0,18.0,8.4,22.0,431,1
2347,SingStar Anthems,16,2006.0,3,458,0.0,0.68,0.0,0.2,0.89,70.0,4.0,7.8,4.0,1539,1
2348,LEGO Indiana Jones 2: The Adventure Continues,17,2009.0,0,21,0.47,0.29,0.0,0.13,0.89,70.0,25.0,7.1,16.0,1511,2
2349,Seiken Densetsu 3,23,1995.0,7,469,0.0,0.0,0.89,0.0,0.89,70.0,4.0,7.8,4.0,1539,1
2350,Fossil Fighters,4,2008.0,7,361,0.83,0.0,0.0,0.06,0.89,70.0,17.0,7.9,15.0,1161,1
2351,Buzz! Quiz TV,17,2008.0,3,458,0.28,0.47,0.0,0.13,0.89,70.0,4.0,7.8,4.0,1539,1
2352,NCAA Football 13,17,2012.0,0,139,0.82,0.0,0.0,0.07,0.89,79.0,9.0,4.1,34.0,453,1
2353,Samba De Amigo,26,2008.0,3,448,0.41,0.37,0.01,0.09,0.88,68.0,43.0,8.1,40.0,599,1
2354,Mega Man 8 Anniversary Collector's Edition,15,1996.0,4,85,0.44,0.3,0.09,0.06,0.88,70.0,4.0,7.8,4.0,1539,1
2355,The Simpsons Game,17,2007.0,0,139,0.38,0.36,0.0,0.15,0.88,71.0,30.0,7.5,49.0,445,7
2356,Call of Duty: Modern Warfare 2,13,2009.0,8,21,0.01,0.79,0.0,0.09,0.88,86.0,40.0,4.2,6430.0,728,5
2357,The Tomb Raider Trilogy,17,2011.0,0,467,0.27,0.46,0.0,0.15,0.88,78.0,37.0,8.1,60.0,344,7
2358,F1 2010,28,2010.0,6,91,0.18,0.59,0.01,0.1,0.88,84.0,43.0,7.5,65.0,306,1
2359,Call of Juarez: Bound in Blood,17,2009.0,8,528,0.35,0.37,0.01,0.15,0.88,78.0,47.0,7.8,91.0,1459,5
2360,Minecraft: Story Mode,28,2015.0,1,336,0.48,0.33,0.0,0.08,0.88,70.0,4.0,7.8,4.0,1539,1
2361,Rhythm Heaven,26,2008.0,3,533,0.11,0.0,0.77,0.01,0.88,70.0,4.0,7.8,4.0,1539,1
2362,NBA 2K6,16,2005.0,0,497,0.43,0.34,0.0,0.11,0.88,84.0,23.0,8.3,13.0,1606,1
2363,Dissidia 012: Duodecim Final Fantasy,19,2011.0,2,467,0.21,0.12,0.46,0.08,0.88,78.0,52.0,8.3,144.0,1365,7
2364,Buzz! The Mega Quiz,16,2007.0,3,458,0.32,0.06,0.0,0.5,0.88,70.0,4.0,7.8,4.0,1539,1
2365,Star Wars: Rebel Assault II - The Hidden Empire,15,1996.0,8,84,0.49,0.33,0.0,0.06,0.88,70.0,4.0,7.8,4.0,1539,1
2366,Monster 4X4: World Circuit,26,2006.0,6,528,0.8,0.0,0.01,0.07,0.88,51.0,11.0,7.8,17.0,1539,1
2367,Far Cry: Primal,30,2016.0,0,528,0.47,0.33,0.0,0.08,0.88,77.0,27.0,6.4,194.0,1547,5
2368,Resident Evil: Revelations,2,2012.0,0,85,0.3,0.22,0.3,0.05,0.88,82.0,78.0,8.5,397.0,268,5
2369,Sonic Chronicles: The Dark Brotherhood,4,2008.0,7,448,0.5,0.29,0.01,0.08,0.88,74.0,55.0,7.3,81.0,196,1
2370,Star Wars: The Force Unleashed,4,2008.0,0,290,0.5,0.28,0.0,0.09,0.88,61.0,8.0,5.5,18.0,1689,7
2371,Grand Theft Auto IV,13,2008.0,0,497,0.01,0.79,0.0,0.07,0.88,90.0,40.0,6.6,2299.0,1223,5
2372,Rock Band 3,28,2010.0,3,294,0.73,0.09,0.0,0.06,0.88,93.0,57.0,8.2,137.0,647,7
2373,WWE SmackDown vs. Raw 2011,28,2010.0,2,491,0.44,0.35,0.0,0.08,0.88,75.0,49.0,7.6,45.0,1652,7
2374,ESPN NHL 2K5,16,2004.0,10,201,0.43,0.33,0.0,0.11,0.88,86.0,25.0,8.1,18.0,827,1
2375,Borderlands: The Handsome Collection,18,2015.0,8,497,0.38,0.33,0.03,0.14,0.88,82.0,49.0,7.8,345.0,599,5
2376,Crimson Skies: High Road to Revenge,29,2003.0,9,325,0.65,0.19,0.0,0.03,0.87,88.0,49.0,8.8,45.0,516,7
2377,Madden NFL 08,26,2007.0,10,139,0.8,0.0,0.0,0.07,0.87,76.0,29.0,6.8,27.0,453,1
2378,Spec Ops: Ranger Elite,15,2001.0,8,499,0.49,0.33,0.0,0.06,0.87,48.0,4.0,6.6,16.0,1235,7
2379,Gex,15,1995.0,4,104,0.49,0.33,0.0,0.06,0.87,70.0,4.0,7.8,4.0,1539,1
2380,F1 2009,26,2009.0,6,91,0.15,0.62,0.0,0.11,0.87,69.0,29.0,7.2,30.0,1397,1
2381,Derby Stallion II,23,1994.0,10,13,0.0,0.0,0.87,0.0,0.87,70.0,4.0,7.8,4.0,1539,1
2382,Tom Clancy's Ghost Recon: Island Thunder,29,2003.0,8,528,0.61,0.24,0.0,0.03,0.87,81.0,33.0,8.8,17.0,1194,5
2383,Sleeping Dogs,28,2012.0,0,468,0.38,0.4,0.01,0.08,0.87,80.0,47.0,7.9,468.0,1571,5
2384,Kingdoms of Amalur: Reckoning,28,2012.0,7,139,0.55,0.24,0.01,0.07,0.87,80.0,71.0,7.7,446.0,187,5
2385,Metal Gear Ac!d,19,2004.0,11,277,0.32,0.26,0.12,0.17,0.87,70.0,4.0,7.8,4.0,1539,1
2386,Need for Speed: V-Rally,15,1997.0,6,244,0.43,0.29,0.09,0.06,0.87,70.0,4.0,7.8,4.0,1539,1
2387,Monster Strike 3DS,2,2015.0,0,579,0.0,0.0,0.87,0.0,0.87,70.0,4.0,7.8,4.0,1539,1
2388,Kingdom Hearts Re: Chain of Memories,16,2008.0,7,467,0.73,0.03,0.0,0.12,0.87,68.0,20.0,7.2,105.0,775,2
2389,Phantasy Star Portable 2,19,2009.0,7,448,0.08,0.11,0.62,0.06,0.87,69.0,27.0,8.1,35.0,62,7
2390,Peppa Pig: The Game,4,2008.0,3,400,0.0,0.81,0.0,0.06,0.87,70.0,4.0,7.8,4.0,1539,1
2391,Michael Jackson: The Experience,28,2011.0,3,528,0.62,0.18,0.0,0.07,0.87,63.0,31.0,6.8,29.0,1547,2
2392,NFL GameDay '97,15,1996.0,10,458,0.48,0.33,0.0,0.06,0.87,70.0,4.0,7.8,4.0,1539,1
2393,LittleBigPlanet Karting,17,2012.0,0,458,0.42,0.3,0.01,0.15,0.87,73.0,69.0,6.9,159.0,911,1
2394,Tony Hawk's Project 8,16,2006.0,10,21,0.72,0.03,0.0,0.12,0.87,69.0,17.0,7.3,19.0,1302,7
2395,NHL 2000,15,1998.0,10,139,0.48,0.33,0.0,0.06,0.87,70.0,4.0,7.8,4.0,1539,1
2396,GRID,28,2008.0,6,91,0.33,0.44,0.01,0.09,0.87,87.0,62.0,7.9,131.0,305,1
2397,DiRT,28,2007.0,6,91,0.38,0.4,0.0,0.09,0.87,83.0,59.0,7.4,94.0,305,1
2398,Buzz! Master Quiz,19,2008.0,3,458,0.2,0.44,0.0,0.23,0.87,70.0,4.0,7.8,4.0,1539,1
2399,Red Faction: Guerrilla,28,2009.0,8,491,0.48,0.29,0.01,0.09,0.87,85.0,84.0,8.1,237.0,1615,5
2400,Fight Night Round 2,16,2005.0,2,139,0.72,0.03,0.0,0.12,0.87,88.0,37.0,9,37.0,449,7
2401,Conflict: Desert Storm,29,2002.0,8,438,0.48,0.37,0.0,0.02,0.87,65.0,14.0,8.1,17.0,1258,7
2402,LEGO Jurassic World,28,2015.0,0,552,0.47,0.32,0.0,0.08,0.87,70.0,4.0,7.1,14.0,1432,2
2403,Triple Play 2002,16,2002.0,10,139,0.43,0.33,0.0,0.11,0.87,65.0,17.0,7.8,4.0,1085,1
2404,Cooking Mama: World Kitchen,26,2008.0,9,6,0.51,0.27,0.01,0.08,0.87,62.0,17.0,4.9,12.0,321,1
2405,Brothers in Arms: Hell's Highway,28,2008.0,8,528,0.47,0.3,0.0,0.09,0.87,76.0,65.0,8.3,149.0,599,5
2406,Vagrant Story,15,2000.0,7,101,0.3,0.2,0.3,0.06,0.87,92.0,19.0,8.3,129.0,1370,7
2407,Warriors Orochi,16,2007.0,0,503,0.11,0.09,0.64,0.03,0.87,55.0,14.0,8.2,16.0,1054,7
2408,Enduro,0,1982.0,3,416,0.81,0.05,0.0,0.01,0.87,70.0,4.0,7.8,4.0,1539,1
2409,Crysis 3,17,2013.0,8,139,0.26,0.42,0.03,0.16,0.87,77.0,23.0,6.3,288.0,346,5
